"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","HOSPITALBED","TOT","1000HAB","A","1997",7.9,
"FIN","HOSPITALBED","TOT","1000HAB","A","1998",7.77,
"FIN","HOSPITALBED","TOT","1000HAB","A","1999",7.61,
"FIN","HOSPITALBED","TOT","1000HAB","A","2000",7.54,"B"
"FIN","HOSPITALBED","TOT","1000HAB","A","2001",7.46,
"FIN","HOSPITALBED","TOT","1000HAB","A","2002",7.35,
"FIN","HOSPITALBED","TOT","1000HAB","A","2003",7.24,
"FIN","HOSPITALBED","TOT","1000HAB","A","2004",7.1,
"FIN","HOSPITALBED","TOT","1000HAB","A","2005",7.05,
"FIN","HOSPITALBED","TOT","1000HAB","A","2006",6.99,
"FIN","HOSPITALBED","TOT","1000HAB","A","2007",6.73,
"FIN","HOSPITALBED","TOT","1000HAB","A","2008",6.57,
"FIN","HOSPITALBED","TOT","1000HAB","A","2009",6.25,
"FIN","HOSPITALBED","TOT","1000HAB","A","2010",5.85,
"FIN","HOSPITALBED","TOT","1000HAB","A","2011",5.52,
"FIN","HOSPITALBED","TOT","1000HAB","A","2012",5.3,
"FIN","HOSPITALBED","TOT","1000HAB","A","2013",4.87,
"FIN","HOSPITALBED","TOT","1000HAB","A","2014",4.53,
"FIN","HOSPITALBED","TOT","1000HAB","A","2015",4.35,
"FIN","HOSPITALBED","TOT","1000HAB","A","2016",3.97,
"FIN","HOSPITALBED","TOT","1000HAB","A","2017",3.28,
"FIN","HOSPITALBED","TOT","1000HAB","A","2018",3.61,
"FIN","HOSPITALBED","TOT","1000HAB","A","2019",3.35,
"FRA","HOSPITALBED","TOT","1000HAB","A","1997",8.49,
"FRA","HOSPITALBED","TOT","1000HAB","A","1998",8.34,
"FRA","HOSPITALBED","TOT","1000HAB","A","1999",8.2,
"FRA","HOSPITALBED","TOT","1000HAB","A","2000",7.97,
"FRA","HOSPITALBED","TOT","1000HAB","A","2001",7.83,
"FRA","HOSPITALBED","TOT","1000HAB","A","2002",7.71,
"FRA","HOSPITALBED","TOT","1000HAB","A","2003",7.55,
"FRA","HOSPITALBED","TOT","1000HAB","A","2004",7.39,
"FRA","HOSPITALBED","TOT","1000HAB","A","2005",7.22,
"FRA","HOSPITALBED","TOT","1000HAB","A","2006",7.11,
"FRA","HOSPITALBED","TOT","1000HAB","A","2007",7.06,
"FRA","HOSPITALBED","TOT","1000HAB","A","2008",6.9,
"FRA","HOSPITALBED","TOT","1000HAB","A","2009",6.66,
"FRA","HOSPITALBED","TOT","1000HAB","A","2010",6.43,
"FRA","HOSPITALBED","TOT","1000HAB","A","2011",6.36,
"FRA","HOSPITALBED","TOT","1000HAB","A","2012",6.34,
"FRA","HOSPITALBED","TOT","1000HAB","A","2013",6.28,
"FRA","HOSPITALBED","TOT","1000HAB","A","2014",6.2,
"FRA","HOSPITALBED","TOT","1000HAB","A","2015",6.13,
"FRA","HOSPITALBED","TOT","1000HAB","A","2016",6.06,
"FRA","HOSPITALBED","TOT","1000HAB","A","2017",5.98,
"FRA","HOSPITALBED","TOT","1000HAB","A","2018",5.9,
"FRA","HOSPITALBED","TOT","1000HAB","A","2019",5.84,
"DEU","HOSPITALBED","TOT","1000HAB","A","1991",10.12,
"DEU","HOSPITALBED","TOT","1000HAB","A","1992",9.88,
"DEU","HOSPITALBED","TOT","1000HAB","A","1993",9.66,
"DEU","HOSPITALBED","TOT","1000HAB","A","1994",9.71,
"DEU","HOSPITALBED","TOT","1000HAB","A","1995",9.68,
"DEU","HOSPITALBED","TOT","1000HAB","A","1996",9.57,
"DEU","HOSPITALBED","TOT","1000HAB","A","1997",9.38,
"DEU","HOSPITALBED","TOT","1000HAB","A","1998",9.29,
"DEU","HOSPITALBED","TOT","1000HAB","A","1999",9.19,
"DEU","HOSPITALBED","TOT","1000HAB","A","2000",9.12,
"DEU","HOSPITALBED","TOT","1000HAB","A","2001",9.01,
"DEU","HOSPITALBED","TOT","1000HAB","A","2002",8.87,
"DEU","HOSPITALBED","TOT","1000HAB","A","2003",8.74,
"DEU","HOSPITALBED","TOT","1000HAB","A","2004",8.58,
"DEU","HOSPITALBED","TOT","1000HAB","A","2005",8.47,
"DEU","HOSPITALBED","TOT","1000HAB","A","2006",8.3,
"DEU","HOSPITALBED","TOT","1000HAB","A","2007",8.24,
"DEU","HOSPITALBED","TOT","1000HAB","A","2008",8.21,
"DEU","HOSPITALBED","TOT","1000HAB","A","2009",8.24,
"DEU","HOSPITALBED","TOT","1000HAB","A","2010",8.25,
"DEU","HOSPITALBED","TOT","1000HAB","A","2011",8.38,
"DEU","HOSPITALBED","TOT","1000HAB","A","2012",8.34,
"DEU","HOSPITALBED","TOT","1000HAB","A","2013",8.28,
"DEU","HOSPITALBED","TOT","1000HAB","A","2014",8.23,
"DEU","HOSPITALBED","TOT","1000HAB","A","2015",8.13,
"DEU","HOSPITALBED","TOT","1000HAB","A","2016",8.06,
"DEU","HOSPITALBED","TOT","1000HAB","A","2017",8,
"DEU","HOSPITALBED","TOT","1000HAB","A","2018",7.98,
"DEU","HOSPITALBED","TOT","1000HAB","A","2019",7.91,
"GRC","HOSPITALBED","TOT","1000HAB","A","1960",5.79,
"GRC","HOSPITALBED","TOT","1000HAB","A","1961",5.81,
"GRC","HOSPITALBED","TOT","1000HAB","A","1962",5.83,
"GRC","HOSPITALBED","TOT","1000HAB","A","1963",5.87,
"GRC","HOSPITALBED","TOT","1000HAB","A","1964",5.68,
"GRC","HOSPITALBED","TOT","1000HAB","A","1965",5.89,
"GRC","HOSPITALBED","TOT","1000HAB","A","1966",5.99,
"GRC","HOSPITALBED","TOT","1000HAB","A","1967",6.01,
"GRC","HOSPITALBED","TOT","1000HAB","A","1968",6.09,
"GRC","HOSPITALBED","TOT","1000HAB","A","1969",6.12,
"GRC","HOSPITALBED","TOT","1000HAB","A","1970",6.21,
"GRC","HOSPITALBED","TOT","1000HAB","A","1971",6.37,
"GRC","HOSPITALBED","TOT","1000HAB","A","1972",6.3,
"GRC","HOSPITALBED","TOT","1000HAB","A","1973",6.28,
"GRC","HOSPITALBED","TOT","1000HAB","A","1974",6.35,
"GRC","HOSPITALBED","TOT","1000HAB","A","1975",6.47,
"GRC","HOSPITALBED","TOT","1000HAB","A","1976",6.37,
"GRC","HOSPITALBED","TOT","1000HAB","A","1977",6.35,
"GRC","HOSPITALBED","TOT","1000HAB","A","1978",6.26,
"GRC","HOSPITALBED","TOT","1000HAB","A","1979",6.29,
"GRC","HOSPITALBED","TOT","1000HAB","A","1980",6.23,
"GRC","HOSPITALBED","TOT","1000HAB","A","1981",6.16,
"GRC","HOSPITALBED","TOT","1000HAB","A","1982",6.02,
"GRC","HOSPITALBED","TOT","1000HAB","A","1983",5.84,
"GRC","HOSPITALBED","TOT","1000HAB","A","1984",5.77,
"GRC","HOSPITALBED","TOT","1000HAB","A","1985",5.48,
"GRC","HOSPITALBED","TOT","1000HAB","A","1986",5.3,
"GRC","HOSPITALBED","TOT","1000HAB","A","1987",5.17,
"GRC","HOSPITALBED","TOT","1000HAB","A","1988",5.14,
"GRC","HOSPITALBED","TOT","1000HAB","A","1989",5.1,
"GRC","HOSPITALBED","TOT","1000HAB","A","1990",5.03,
"GRC","HOSPITALBED","TOT","1000HAB","A","1991",4.97,
"GRC","HOSPITALBED","TOT","1000HAB","A","1992",4.94,
"GRC","HOSPITALBED","TOT","1000HAB","A","1993",4.98,
"GRC","HOSPITALBED","TOT","1000HAB","A","1994",4.93,
"GRC","HOSPITALBED","TOT","1000HAB","A","1995",4.94,
"GRC","HOSPITALBED","TOT","1000HAB","A","1996",4.96,
"GRC","HOSPITALBED","TOT","1000HAB","A","1997",4.92,
"GRC","HOSPITALBED","TOT","1000HAB","A","1998",4.9,
"GRC","HOSPITALBED","TOT","1000HAB","A","1999",4.78,
"GRC","HOSPITALBED","TOT","1000HAB","A","2000",4.77,
"GRC","HOSPITALBED","TOT","1000HAB","A","2001",4.81,
"GRC","HOSPITALBED","TOT","1000HAB","A","2002",4.75,
"GRC","HOSPITALBED","TOT","1000HAB","A","2003",4.74,
"GRC","HOSPITALBED","TOT","1000HAB","A","2004",4.73,
"GRC","HOSPITALBED","TOT","1000HAB","A","2005",4.78,
"GRC","HOSPITALBED","TOT","1000HAB","A","2006",4.87,
"GRC","HOSPITALBED","TOT","1000HAB","A","2007",4.88,
"GRC","HOSPITALBED","TOT","1000HAB","A","2008",4.84,
"GRC","HOSPITALBED","TOT","1000HAB","A","2009",4.93,
"GRC","HOSPITALBED","TOT","1000HAB","A","2010",4.48,"B"
"GRC","HOSPITALBED","TOT","1000HAB","A","2011",4.47,
"GRC","HOSPITALBED","TOT","1000HAB","A","2012",4.45,
"GRC","HOSPITALBED","TOT","1000HAB","A","2013",4.24,
"GRC","HOSPITALBED","TOT","1000HAB","A","2014",4.24,
"GRC","HOSPITALBED","TOT","1000HAB","A","2015",4.25,
"GRC","HOSPITALBED","TOT","1000HAB","A","2016",4.2,
"GRC","HOSPITALBED","TOT","1000HAB","A","2017",4.21,
"GRC","HOSPITALBED","TOT","1000HAB","A","2018",4.2,
"GRC","HOSPITALBED","TOT","1000HAB","A","2019",4.18,
"HUN","HOSPITALBED","TOT","1000HAB","A","2000",8.16,
"HUN","HOSPITALBED","TOT","1000HAB","A","2001",7.92,
"HUN","HOSPITALBED","TOT","1000HAB","A","2002",7.91,
"HUN","HOSPITALBED","TOT","1000HAB","A","2003",7.9,
"HUN","HOSPITALBED","TOT","1000HAB","A","2004",7.89,
"HUN","HOSPITALBED","TOT","1000HAB","A","2005",7.91,
"HUN","HOSPITALBED","TOT","1000HAB","A","2006",7.98,
"HUN","HOSPITALBED","TOT","1000HAB","A","2007",7.19,"B"
"HUN","HOSPITALBED","TOT","1000HAB","A","2008",7.11,
"HUN","HOSPITALBED","TOT","1000HAB","A","2009",7.14,
"HUN","HOSPITALBED","TOT","1000HAB","A","2010",7.18,
"HUN","HOSPITALBED","TOT","1000HAB","A","2011",7.19,
"HUN","HOSPITALBED","TOT","1000HAB","A","2012",7,
"HUN","HOSPITALBED","TOT","1000HAB","A","2013",7.04,
"HUN","HOSPITALBED","TOT","1000HAB","A","2014",6.98,
"HUN","HOSPITALBED","TOT","1000HAB","A","2015",6.99,
"HUN","HOSPITALBED","TOT","1000HAB","A","2016",7,
"HUN","HOSPITALBED","TOT","1000HAB","A","2017",7.02,
"HUN","HOSPITALBED","TOT","1000HAB","A","2018",6.95,"B"
"HUN","HOSPITALBED","TOT","1000HAB","A","2019",6.91,
"HUN","HOSPITALBED","TOT","1000HAB","A","2020",6.75,"P"
"ISL","HOSPITALBED","TOT","1000HAB","A","2007",4.12,
"ISL","HOSPITALBED","TOT","1000HAB","A","2008",3.91,
"ISL","HOSPITALBED","TOT","1000HAB","A","2009",3.7,
"ISL","HOSPITALBED","TOT","1000HAB","A","2010",3.58,
"ISL","HOSPITALBED","TOT","1000HAB","A","2011",3.29,
"ISL","HOSPITALBED","TOT","1000HAB","A","2012",3.25,
"ISL","HOSPITALBED","TOT","1000HAB","A","2013",3.22,
"ISL","HOSPITALBED","TOT","1000HAB","A","2014",3.16,
"ISL","HOSPITALBED","TOT","1000HAB","A","2015",3.12,
"ISL","HOSPITALBED","TOT","1000HAB","A","2016",3.13,
"ISL","HOSPITALBED","TOT","1000HAB","A","2017",3.06,
"ISL","HOSPITALBED","TOT","1000HAB","A","2018",2.87,
"ISL","HOSPITALBED","TOT","1000HAB","A","2019",2.8,
"ISL","HOSPITALBED","TOT","1000HAB","A","2020",2.85,
"IRL","HOSPITALBED","TOT","1000HAB","A","1980",9.03,
"IRL","HOSPITALBED","TOT","1000HAB","A","1981",8.99,
"IRL","HOSPITALBED","TOT","1000HAB","A","1982",8.82,
"IRL","HOSPITALBED","TOT","1000HAB","A","1983",8.59,
"IRL","HOSPITALBED","TOT","1000HAB","A","1984",8.38,
"IRL","HOSPITALBED","TOT","1000HAB","A","1985",8.21,
"IRL","HOSPITALBED","TOT","1000HAB","A","1986",7.92,
"IRL","HOSPITALBED","TOT","1000HAB","A","1987",9.13,"B"
"IRL","HOSPITALBED","TOT","1000HAB","A","1988",8.41,
"IRL","HOSPITALBED","TOT","1000HAB","A","1989",8.23,
"IRL","HOSPITALBED","TOT","1000HAB","A","1990",8.02,
"IRL","HOSPITALBED","TOT","1000HAB","A","1991",7.95,
"IRL","HOSPITALBED","TOT","1000HAB","A","1992",7.61,
"IRL","HOSPITALBED","TOT","1000HAB","A","1993",7.23,
"IRL","HOSPITALBED","TOT","1000HAB","A","1994",7.06,
"IRL","HOSPITALBED","TOT","1000HAB","A","1995",6.97,
"IRL","HOSPITALBED","TOT","1000HAB","A","1996",6.77,
"IRL","HOSPITALBED","TOT","1000HAB","A","1997",6.56,
